timestep,mkt_C_el,mkt_C_fuel,mkt_C_el1
738,43.33,20,43.33
739,52.93,20,52.93
740,44.1,20,44.1
741,60.99,20,60.99
742,32.24,20,32.24
743,56.35,20,56.35
744,48.14,20,48.14
745,32.8,20,32.8
746,33.04,20,33.04
747,44.94,20,44.94
748,30.56,20,30.56
749,30.6,20,30.6
750,43.56,20,43.56
751,20.87,20,20.87
752,50.02,20,50.02
753,30.98,20,30.98
754,30.7,20,30.7
755,26.59,20,26.59
756,30.84,20,30.84
757,33.28,20,33.28
758,24.66,20,24.66
759,30.1,20,30.1
760,30.7,20,30.7
761,20.71,20,20.71
762,20.88,20,20.88
763,20.18,20,20.18
764,30.85,20,30.85
765,28.94,20,28.94
766,33.04,20,33.04
767,17.57,20,17.57
768,32.24,20,32.24
769,33.04,20,33.04
770,48.49,20,48.49
771,31.26,20,31.26
772,13.18,20,13.18
773,31.82,20,31.82
774,32.95,20,32.95
775,30.44,20,30.44
776,32.91,20,32.91
777,13.91,20,13.91
778,32.99,20,32.99
779,24.73,20,24.73
780,12.59,20,12.59
781,31.03,20,31.03
782,12.56,20,12.56
783,46.96,20,46.96
784,36.82,20,36.82
785,31.08,20,31.08
786,22.07,20,22.07
787,14.07,20,14.07
788,30.8,20,30.8
789,36.15,20,36.15
790,20.07,20,20.07
791,30.38,20,30.38
792,12.74,20,12.74
793,53.23,20,53.23
794,67.5,20,67.5
795,46.76,20,46.76
796,31.55,20,31.55
797,33.8,20,33.8
798,29.87,20,29.87
799,71.89,20,71.89
800,54.09,20,54.09
801,47.14,20,47.14
802,33.42,20,33.42
803,54.1,20,54.1
804,51.96,20,51.96
805,52.9,20,52.9
806,72.94,20,72.94
807,31.56,20,31.56
808,33.06,20,33.06
809,57.18,20,57.18
810,47.16,20,47.16
811,32.32,20,32.32
812,33,20,33
813,31.52,20,31.52
814,54.63,20,54.63
815,46.82,20,46.82
816,54.19,20,54.19
817,60.3,20,60.3
818,32.08,20,32.08
819,42.92,20,42.92
820,58.49,20,58.49
821,43.94,20,43.94
822,28.92,20,28.92
823,29.68,20,29.68
824,30.04,20,30.04
825,53.05,20,53.05
826,47.59,20,47.59
827,55.73,20,55.73
828,53.88,20,53.88
829,36.69,20,36.69
830,46.09,20,46.09
831,30,20,30
832,63.99,20,63.99
833,48.05,20,48.05
834,48.03,20,48.03
835,48.05,20,48.05
836,46.09,20,46.09
837,30.62,20,30.62
838,28.95,20,28.95
839,41.26,20,41.26
840,48,20,48
841,46.85,20,46.85
842,41.97,20,41.97
843,32.37,20,32.37
844,42.55,20,42.55
845,30.53,20,30.53
846,31.06,20,31.06
847,26.86,20,26.86
848,29.58,20,29.58
849,33.15,20,33.15
850,36.79,20,36.79
851,27.38,20,27.38
852,28.08,20,28.08
853,39.9,20,39.9
854,43.92,20,43.92
855,33.51,20,33.51
856,34.18,20,34.18
857,46.21,20,46.21
858,29.98,20,29.98
859,32.54,20,32.54
860,49.69,20,49.69
861,35.56,20,35.56
862,28.99,20,28.99
863,31.43,20,31.43
864,50.36,20,50.36
865,32.2,20,32.2
866,50.07,20,50.07
867,45.07,20,45.07
868,32.12,20,32.12
869,27.07,20,27.07
870,25.72,20,25.72
871,38.93,20,38.93
872,39.94,20,39.94
873,47.89,20,47.89
874,20.94,20,20.94
875,31.5,20,31.5
876,39.91,20,39.91
877,24.03,20,24.03
878,31.89,20,31.89
879,31.6,20,31.6
880,45.02,20,45.02
881,29.04,20,29.04
882,32.69,20,32.69
883,32.24,20,32.24
884,31.78,20,31.78
885,27.72,20,27.72
886,55.89,20,55.89
887,21.96,20,21.96
888,66.01,20,66.01
889,12.8,20,12.8
890,31.9,20,31.9
